rep,host,t,Ec
2,25,10000.0,0.26089495194092
2,25,11000.0,0.17576652366783
2,25,12000.0,0.25863430381556
2,25,13000.0,0.28381024495031
2,25,14000.0,0.14738573093835
2,25,15000.0,0.24547860576628
2,25,16000.0,0.25238951567262
2,25,17000.0,0.19494936030299
2,25,18000.0,0.19857554237679
2,25,19000.0,0.21677053734831
2,25,20000.0,0.24066307187332
2,25,21000.0,0.2589117588642
2,25,22000.0,0.22999438634825
2,25,23000.0,0.14814474137099
2,25,24000.0,0.16186208691003
2,25,25000.0,0.0
2,25,26000.0,0.34176187055762
2,25,27000.0,0.33944057616806
2,25,28000.0,0.27590802981852
2,25,29000.0,0.21010352449694
2,25,30000.0,0.35419954902812
2,25,31000.0,0.14120165362919
2,25,32000.0,0.25961100809201
2,25,33000.0,0.34761619376027
2,25,34000.0,0.2062862646126
2,25,35000.0,0.28513591128776
2,25,36000.0,0.2617100698778
2,25,37000.0,0.339683508829
2,25,38000.0,0.21642496570811
2,25,39000.0,0.37352603393105
2,25,40000.0,0.32846701868904
2,25,41000.0,0.30198806774208
2,25,42000.0,0.3203663484905
2,25,43000.0,0.38089751069448
2,25,44000.0,0.35083029729812
2,25,45000.0,0.32947884684623
2,25,46000.0,0.35830954100948
2,25,47000.0,0.31126612918466
2,25,48000.0,0.35280000632196
2,25,49000.0,0.3242488921241
2,25,50000.0,0.3891979249117
2,26,1000.0,1.0
2,26,2000.0,0.0
2,26,3000.0,0.0
2,26,4000.0,0.12466248239915
2,26,5000.0,0.14417178714627
2,26,6000.0,0.22294502113537
2,26,7000.0,0.1124494815679
2,26,8000.0,0.094749069356309
2,26,9000.0,0.19605612867526
2,26,10000.0,0.076475047835689
2,26,11000.0,0.17478968811368
2,26,12000.0,0.18479051509289
2,26,13000.0,0.093484887518611
2,26,14000.0,0.13051828890467
2,26,15000.0,0.19572958054213
2,26,16000.0,0.0
2,26,17000.0,0.20196467485246
2,26,18000.0,0.096146610489637
2,26,19000.0,0.1071283226117
2,26,20000.0,0.25704751443104
2,26,21000.0,0.19455194583549
2,26,22000.0,0.14810335187705
2,26,23000.0,0.2735698425232
