rep,host,t,TotalClusterMsgSent
0,20,16000.0,172.0
0,20,17000.0,191.0
0,20,18000.0,201.0
0,20,19000.0,211.0
0,20,20000.0,235.0
0,20,21000.0,247.0
0,20,22000.0,259.0
0,20,23000.0,283.0
0,20,24000.0,295.0
0,20,25000.0,308.0
0,20,26000.0,334.0
0,20,27000.0,347.0
0,20,28000.0,360.0
0,20,29000.0,384.0
0,20,30000.0,418.0
0,20,31000.0,440.0
0,20,32000.0,473.0
0,20,33000.0,495.0
0,20,34000.0,506.0
0,20,35000.0,542.0
0,20,36000.0,565.0
0,20,37000.0,576.0
0,20,38000.0,606.0
0,20,39000.0,626.0
0,20,40000.0,635.0
0,20,41000.0,662.0
0,20,42000.0,671.0
0,20,43000.0,680.0
0,20,44000.0,704.0
0,20,45000.0,712.0
0,20,46000.0,720.0
0,20,47000.0,747.0
0,20,48000.0,756.0
0,20,49000.0,765.0
0,20,50000.0,789.0
0,21,1000.0,8.0
0,21,2000.0,24.0
0,21,3000.0,32.0
0,21,4000.0,40.0
0,21,5000.0,56.0
0,21,6000.0,64.0
0,21,7000.0,72.0
0,21,8000.0,88.0
0,21,9000.0,96.0
0,21,10000.0,104.0
0,21,11000.0,112.0
0,21,12000.0,120.0
0,21,13000.0,128.0
0,21,14000.0,144.0
0,21,15000.0,153.0
0,21,16000.0,163.0
0,21,17000.0,183.0
0,21,18000.0,194.0
0,21,19000.0,206.0
0,21,20000.0,234.0
0,21,21000.0,262.0
0,21,22000.0,276.0
0,21,23000.0,306.0
0,21,24000.0,338.0
0,21,25000.0,354.0
0,21,26000.0,386.0
0,21,27000.0,402.0
0,21,28000.0,418.0
0,21,29000.0,450.0
0,21,30000.0,481.0
0,21,31000.0,496.0
0,21,32000.0,525.0
0,21,33000.0,552.0
0,21,34000.0,591.0
0,21,35000.0,603.0
0,21,36000.0,614.0
0,21,37000.0,625.0
0,21,38000.0,656.0
0,21,39000.0,666.0
0,21,40000.0,677.0
0,21,41000.0,707.0
0,21,42000.0,727.0
0,21,43000.0,737.0
0,21,44000.0,775.0
0,21,45000.0,814.0
0,21,46000.0,853.0
0,21,47000.0,879.0
0,21,48000.0,892.0
0,21,49000.0,905.0
0,21,50000.0,928.0
0,22,1000.0,11.0
0,22,2000.0,22.0
0,22,3000.0,44.0
